correctionsNb,cancelled,onBehalf,jointProcurement,fraAgreement,accelerated,outOfDirectives,subContracted,gpa,multipleCae,typeOfContract,topType,renewal,contractDuration,publicityDuration,tenderNumber,AgentNumber,Score
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,48.0,70.0,7.0,11,1
0.0,0.0,N,,N,,0.0,,Y,,W,NIC,,,54.0,2.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,6.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,5.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,5.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,5.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,5.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,6.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,7.0,12,0
0.0,0.0,N,,Y,,0.0,Y,,,W,OPE,Y,48.0,53.0,1.0,12,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,46.0,1.0,13,0
0.0,0.0,N,,N,,0.0,,Y,,U,OPE,,,43.0,5.0,13,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,48.0,6.0,13,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,48.0,5.0,13,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,53.0,3.0,13,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,42.0,2.0,14,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,42.0,3.0,14,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,11.97,62.0,7.0,14,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,11.97,62.0,8.0,14,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,11.97,62.0,6.0,14,0
0.0,0.0,N,,N,,0.0,Y,Y,,W,OPE,,,43.0,3.0,14,0
