correctionsNb,cancelled,onBehalf,jointProcurement,fraAgreement,accelerated,outOfDirectives,subContracted,gpa,multipleCae,typeOfContract,topType,renewal,contractDuration,publicityDuration,tenderNumber,AgentNumber,Score
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,47.0,6.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,54.0,2.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,54.0,1.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,54.0,5.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,54.0,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,6.0,41.0,12.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,6.0,41.0,13.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,U,OPE,Y,12.0,54.0,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,U,OPE,Y,12.0,54.0,1.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,U,OPE,Y,12.0,54.0,1.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,,,42.0,4.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,42.0,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,42.0,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,46.0,2.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,42.0,3.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,,12.0,44.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,,12.0,44.0,6.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,44.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,55.0,1.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,,43.0,2.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,,43.0,2.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,54.0,3.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,54.0,3.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,54.0,4.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,2.0,21,1
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,5.0,21,1
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,5.0,21,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,4.0,21,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,2.0,21,1
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,6.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,38.0,6.0,21,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,38.0,6.0,21,1
0.0,0.0,N,,N,,0.0,N,Y,,W,OPE,N,,43.0,,21,1
0.0,0.0,,,N,,0.0,,,,W,OPE,,,,7.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,,5.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,,4.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,,12.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,,,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,5.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,4.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,2.0,22,0
0.0,0.0,,,N,,0.0,,,,W,OPE,,,59.0,5.0,22,0
0.0,0.0,N,,Y,,0.0,N,Y,,W,OPE,Y,24.0,63.0,3.0,22,0
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,22,0
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,,22,0
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,22,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,92.0,3.0,22,0
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,12.0,54.0,5.0,22,0
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,41.0,3.0,22,0
0.0,0.0,,,N,,0.0,,Y,,S,OPE,,,41.0,3.0,23,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,,12.0,37.0,5.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,,12.0,37.0,4.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,,12.0,37.0,13.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,4.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,2.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,4.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,2.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,5.0,21.0,5.0,24,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,Y,12.0,46.0,3.0,24,0
0.0,0.0,N,,N,,0.0,Y,N,,W,OPE,N,,26.0,8.0,24,0
0.0,0.0,N,,N,,0.0,,N,,W,OPE,Y,14.0,53.0,13.0,24,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,11.0,25,0
0.0,0.0,N,,N,,1.0,Y,N,,W,AWP,,,,6.0,25,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,7.0,25,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,,43.0,3.0,25,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,3.0,25,0
0.0,0.0,N,,N,,1.0,N,N,,W,AWP,,,,8.0,25,0
0.0,0.0,N,,N,,0.0,Y,N,,W,AWP,,,,1.0,25,0
0.0,0.0,N,,Y,,0.0,,Y,,S,OPE,Y,,45.0,4.0,25,0
0.0,0.0,N,,N,,0.0,Y,N,,W,AWP,,,,6.0,25,0
0.0,0.0,N,,N,,0.0,,,,W,OPE,N,,42.0,3.0,25,0
0.0,0.0,N,,N,,0.0,Y,Y,,W,OPE,N,,38.0,3.0,26,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,38.0,7.0,26,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,38.0,6.0,26,0
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,N,,38.0,6.0,26,0
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,,12.0,44.0,6.0,26,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,60.0,8.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,4.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,2.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,1.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,4.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,4.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,2.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,2.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,1.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,41.0,1.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,46.0,7.0,27,1
0.0,0.0,N,,N,,0.0,,Y,,W,OPE,Y,26.0,46.0,3.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,42.0,4.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,42.0,5.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,42.0,5.0,27,1
0.0,0.0,,,Y,,0.0,,Y,,W,OPE,Y,,42.0,5.0,27,1
0.0,0.0,N,,Y,,0.0,,Y,,W,OPE,Y,12.0,44.0,,27,1
0.0,0.0,N,,N,,0.0,Y,,,W,NIC,,,58.0,2.0,28,0
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
0.0,0.0,,,N,,0.0,,Y,,W,OPE,Y,,43.0,,29,1
